index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
354,11165,2408,6,8,3165,0
355,11154,2243,6,8,3154,0
356,9232,2205,3,6,3232,0
357,10799,2301,6,8,2799,0
358,9802,2526,4,7,2802,0
359,10610,2180,5,8,2610,0
360,11132,2232,6,8,3132,0
361,9390,2318,4,7,2390,0
362,9359,2261,4,7,2359,0
363,10752,2374,5,8,2752,0
364,7723,2206,3,6,1723,0
365,6285,1487,2,4,2285,0
366,7058,1495,3,5,2058,0
367,6956,1538,3,5,1956,0
368,6926,1479,3,5,1926,0
369,7106,1558,3,5,2106,0
370,7287,1577,3,5,2287,0
371,7834,1643,3,6,1834,0
372,6954,1635,2,5,1954,0
373,7663,1645,3,6,1663,0
374,7931,1736,3,6,1931,0
375,8016,1729,3,6,2016,0
376,7217,1718,2,5,2217,0
377,12631,1651,8,11,1631,0
378,7192,1534,3,5,2192,0
379,6407,1550,2,4,2407,0
380,7257,1655,3,5,2257,0
381,6302,1509,2,4,2302,0
382,7205,1491,3,5,2205,0
383,6386,1550,2,4,2386,0
384,8144,1515,3,6,2144,0
385,10360,2306,3,8,2360,0
386,16457,2233,10,14,2457,0
387,8773,2107,2,6,2773,0
388,9987,2144,3,7,2987,0
389,8787,2140,2,6,2787,0
390,10041,2261,3,7,3041,0
391,10273,2109,4,8,2273,0
392,10038,2146,3,8,2038,0
393,9941,2132,3,7,2941,0
394,8910,2171,2,6,2910,0
395,10171,2253,3,8,2171,0
396,8645,2120,2,6,2645,0
397,9929,2101,3,7,2929,0
398,10542,2276,5,8,2542,0
399,10771,2285,6,8,2771,0
400,10666,2335,5,8,2666,0
401,9103,2193,3,6,3103,0
402,9044,2258,3,6,3044,0
403,14483,7585,3,12,2483,0
404,10658,2342,5,8,2658,0
405,10560,2160,6,8,2560,0
406,10201,2129,3,8,2201,0
407,10233,2204,3,8,2233,0
408,10261,2130,5,8,2261,0
409,10238,2122,3,8,2238,0
410,8816,2076,2,6,2816,0
411,10417,2053,5,8,2417,0
412,10512,2299,4,8,2512,0
413,14183,5392,6,11,3183,0
414,10316,2197,4,8,2316,0
415,10365,2117,5,8,2365,0
416,9100,2240,3,6,3100,0
417,9239,2250,4,7,2239,0
418,10241,2172,4,8,2241,0
419,10279,2155,4,8,2279,0
420,9183,2119,4,7,2183,0
421,10346,2266,3,8,2346,0
422,10277,2159,5,8,2277,0
423,9109,2081,4,6,3109,0
424,10333,2205,4,8,2333,0
425,10152,2201,3,8,2152,0
426,7343,2133,2,6,1343,0
427,10290,2320,4,8,2290,0
428,10324,2153,3,8,2324,0
429,9991,2115,4,7,2991,0
430,10206,2163,4,8,2206,0
431,9053,2229,2,6,3053,0
432,8942,2203,3,6,2942,0
433,10370,2243,3,8,2370,0
434,14207,2148,9,13,1207,0
435,9895,2057,3,7,2895,0
436,10030,2125,4,7,3030,0
437,10021,2132,3,7,3021,0
438,9961,2082,3,7,2961,0
439,9956,2088,3,7,2956,0
440,9958,2191,3,7,2958,0
441,9935,2130,3,7,2935,0
442,10176,2089,4,8,2176,0
443,9986,2163,3,7,2986,0
444,9926,2059,4,7,2926,0
445,9792,2057,3,7,2792,0
446,8699,2084,2,6,2699,0
447,8658,2084,2,6,2658,0
448,9962,2112,3,7,2962,0
449,9966,2046,3,7,2966,0
450,10133,2165,4,8,2133,0
451,10014,2072,3,7,3014,0
452,8847,2102,3,6,2847,0
453,8664,2079,2,6,2664,0
454,10060,2143,3,7,3060,0
455,8867,2239,2,6,2867,0
456,8582,2044,2,6,2582,0
457,8679,2110,2,6,2679,0
458,9983,2059,4,7,2983,0
459,9801,2030,3,7,2801,0
460,8811,2067,2,6,2811,0
461,8918,2309,2,6,2918,0
462,10089,2061,4,8,2089,0
463,9763,2102,3,7,2763,0
464,8663,2163,2,6,2663,0
465,8729,2104,3,6,2729,0
466,9834,2045,3,7,2834,0
467,9829,2045,3,7,2829,0
468,10025,2104,3,7,3025,0
469,9798,2085,3,7,2798,0
470,8628,2127,2,6,2628,0
471,8593,2067,2,6,2593,0
472,10000,2207,3,7,3000,0
473,8728,2121,2,6,2728,0
474,9755,2078,3,7,2755,0
475,9861,2119,3,7,2861,0
476,9884,2058,3,7,2884,0
477,9959,2100,3,7,2959,0
478,9803,2076,3,7,2803,0
479,9752,2105,3,7,2752,0
480,9752,2053,3,7,2752,0
481,9727,2110,3,7,2727,0
482,9615,2018,3,7,2615,0
483,9800,2102,3,7,2800,0
484,9843,2102,3,7,2843,0
485,10030,2169,3,7,3030,0
486,14280,2082,8,12,2280,0
487,8552,2131,2,6,2552,0
488,9743,2059,3,7,2743,0
489,9696,2027,3,7,2696,0
490,10078,2097,4,8,2078,0
491,8636,2113,2,6,2636,0
492,8602,2087,2,6,2602,0
493,9804,2065,3,7,2804,0
494,9861,2074,3,7,2861,0
495,9956,2068,4,7,2956,0
496,9929,2206,3,7,2929,0
497,10175,2325,3,8,2175,0
498,9958,2022,4,7,2958,0
499,9738,2074,3,7,2738,0
500,8627,2084,2,6,2627,0
501,9668,2087,3,7,2668,0
502,9942,2128,3,7,2942,0
503,10392,2098,5,8,2392,0
504,8634,2225,2,6,2634,0
505,9832,2123,3,7,2832,0
506,9732,2068,3,7,2732,0
507,9874,2128,3,7,2874,0
508,9886,2051,3,7,2886,0
509,8907,2129,2,6,2907,0
510,9701,2016,3,7,2701,0
511,8586,2184,2,6,2586,0
512,9744,2146,3,7,2744,0
513,9728,2073,3,7,2728,0
514,9795,2079,3,7,2795,0
515,9828,2099,3,7,2828,0
516,10009,2182,3,7,3009,0
517,9925,2138,3,7,2925,0
