index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
352,10111,2073,3,7,3111,0
353,9918,2125,3,7,2918,0
354,10079,2180,3,8,2079,0
355,9904,2095,3,7,2904,0
356,10148,2172,3,8,2148,0
357,10114,2140,3,8,2114,0
358,10265,2210,3,8,2265,0
359,10034,2086,3,7,3034,0
360,10062,2185,3,7,3062,0
361,10276,2145,4,8,2276,0
362,10119,2138,3,7,3119,0
363,10177,2190,4,8,2177,0
364,10120,2170,3,7,3120,0
365,10257,2133,5,8,2257,0
366,10207,2186,3,8,2207,0
367,10431,2217,4,8,2431,0
368,10278,2060,4,7,3278,0
369,10376,2195,4,8,2376,0
370,10328,2215,4,8,2328,0
371,10477,2238,3,8,2477,0
372,10108,2107,3,8,2108,0
373,11794,2126,6,9,2794,0
374,10338,2214,4,8,2338,0
375,10381,2272,4,8,2381,0
376,10667,2226,6,8,2667,0
377,10694,2195,6,8,2694,0
378,10517,2251,4,8,2517,0
379,10478,2332,4,8,2478,0
380,10685,2214,6,8,2685,0
381,10370,2245,4,8,2370,0
382,11186,2141,4,8,3186,0
383,10882,2255,5,8,2882,0
384,11169,2387,6,8,3169,0
385,16746,6273,6,14,2746,0
386,11279,2450,6,8,3279,0
387,11136,2323,6,8,3136,0
388,12304,2447,6,10,2304,0
389,11171,2343,6,8,3171,0
390,11112,2375,6,8,3112,0
391,10990,2276,6,8,2990,0
392,11223,2377,6,8,3223,0
393,10941,2285,6,8,2941,0
394,11091,2390,6,8,3091,0
395,10942,2403,5,8,2942,0
396,11155,2384,6,8,3155,0
397,10837,2398,5,8,2837,0
398,11172,2346,6,8,3172,0
399,10958,2323,6,8,2958,0
400,11151,2335,6,8,3151,0
401,11030,2351,6,8,3030,0
402,10995,2338,5,8,2995,0
403,10885,2315,5,8,2885,0
404,11188,2338,6,8,3188,0
405,11019,2430,6,8,3019,0
406,10959,2299,6,8,2959,0
407,11144,2362,6,8,3144,0
408,10832,2383,5,8,2832,0
409,12069,2293,7,9,3069,0
410,11047,2357,6,8,3047,0
411,10918,2280,6,8,2918,0
412,10879,2355,6,8,2879,0
413,10789,2316,5,8,2789,0
414,10744,2196,6,8,2744,0
415,10439,2167,5,8,2439,0
416,10510,2176,5,8,2510,0
417,10670,2314,5,8,2670,0
418,10647,2211,6,8,2647,0
419,10879,2364,5,8,2879,0
420,10521,2197,4,8,2521,0
421,10482,2284,4,8,2482,0
422,10458,2138,5,8,2458,0
423,10661,2155,6,8,2661,0
424,10594,2212,6,8,2594,0
425,11128,2570,6,8,3128,0
426,10885,2327,6,8,2885,0
427,10650,2262,6,8,2650,0
428,10613,2228,6,8,2613,0
429,10774,2173,6,8,2774,0
430,10836,2340,6,8,2836,0
431,10793,2304,6,8,2793,0
432,10650,2264,5,8,2650,0
433,10587,2274,6,8,2587,0
434,11063,2238,5,8,3063,0
435,14966,2280,6,8,6966,0
436,12688,4181,6,10,2688,0
437,10657,2232,4,8,2657,0
438,10963,2334,6,8,2963,0
439,10655,2357,6,8,2655,0
440,10738,2218,6,8,2738,0
441,10509,2338,4,8,2509,0
442,10478,2245,4,8,2478,0
443,46710,2271,5,8,38710,0
444,41572,2393,4,8,33572,0
445,10730,2319,6,8,2730,0
446,41508,33001,5,39,2508,0
447,41972,33628,6,39,2972,0
448,41764,33096,6,39,2764,0
449,41937,33156,6,39,2937,0
450,42094,2305,36,39,3094,0
451,43128,2697,37,40,3128,0
452,74334,33747,37,71,3334,0
453,42846,2457,37,40,2846,0
454,74129,33718,37,71,3129,0
455,43314,2629,37,40,3314,0
