experiment,index,elapsed_us,admission_us,phase,acceptance
warm,579,11037,2351,completed,unchecked
warm,580,10787,2338,completed,unchecked
warm,581,10856,2314,completed,unchecked
warm,582,11071,2363,completed,unchecked
warm,583,11090,2380,completed,unchecked
warm,584,17872,6967,completed,unchecked
warm,585,11211,2387,completed,unchecked
warm,586,11121,2309,completed,unchecked
warm,587,11068,2333,completed,unchecked
warm,588,11283,2309,completed,unchecked
warm,589,11271,2381,completed,unchecked
warm,590,11431,2411,completed,unchecked
warm,591,11395,2428,completed,unchecked
warm,592,11240,2399,completed,unchecked
warm,593,11436,2343,completed,unchecked
warm,594,11263,2456,completed,unchecked
warm,595,11287,2449,completed,unchecked
warm,596,10838,2258,completed,unchecked
warm,597,11047,2271,completed,unchecked
warm,598,10930,2327,completed,unchecked
warm,599,11116,2363,completed,unchecked
warm,600,10890,2285,completed,unchecked
warm,601,10971,2254,completed,unchecked
warm,602,10868,2399,completed,unchecked
warm,603,10412,2182,completed,unchecked
warm,604,10507,2153,completed,unchecked
warm,605,11021,2324,completed,unchecked
warm,606,10673,2253,completed,unchecked
warm,607,11016,2302,completed,unchecked
warm,608,10989,2201,completed,unchecked
warm,609,10828,2311,completed,unchecked
warm,610,10804,2286,completed,unchecked
warm,611,10905,2478,completed,unchecked
warm,612,10999,2385,completed,unchecked
warm,613,10829,2216,completed,unchecked
warm,614,11016,2375,completed,unchecked
warm,615,10656,2251,completed,unchecked
warm,616,14822,4599,completed,unchecked
warm,617,10627,2190,completed,unchecked
warm,618,10523,2157,completed,unchecked
warm,619,11185,2360,completed,unchecked
warm,620,11552,2834,completed,unchecked
warm,621,10895,2394,completed,unchecked
warm,622,13148,2536,completed,unchecked
warm,623,11114,2357,completed,unchecked
warm,624,11358,2537,completed,unchecked
warm,625,10979,2406,completed,unchecked
warm,626,11277,2340,completed,unchecked
warm,627,10778,2259,completed,unchecked
warm,628,11280,2647,completed,unchecked
warm,629,11096,2367,completed,unchecked
warm,630,10645,2285,completed,unchecked
warm,631,10645,2284,completed,unchecked
warm,632,10539,2169,completed,unchecked
warm,633,10723,2395,completed,unchecked
warm,634,17930,2228,completed,unchecked
warm,635,10496,2226,completed,unchecked
warm,636,10172,2159,completed,unchecked
warm,637,10492,2193,completed,unchecked
warm,638,10804,2228,completed,unchecked
warm,639,10932,2286,completed,unchecked
warm,640,10979,2299,completed,unchecked
warm,641,11049,2345,completed,unchecked
warm,642,14610,2360,completed,unchecked
warm,643,10931,2390,completed,unchecked
warm,644,10809,2455,completed,unchecked
warm,645,10694,2259,completed,unchecked
warm,646,11131,2390,completed,unchecked
