index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
338,29091,3424,17,26,3091,4
339,30444,2461,16,28,2444,8
340,15543,2504,6,13,2543,4
341,30530,2596,11,28,2530,13
342,17880,2272,6,14,3880,4
343,30770,2418,14,28,2770,11
344,29523,2649,11,27,2523,12
345,16251,2669,6,13,3251,3
346,31530,2580,10,28,3530,14
347,16244,2481,8,13,3244,1
348,29681,4405,6,27,2681,15
349,16090,2548,6,13,3090,3
350,33475,4519,7,30,3475,17
351,29701,4768,6,27,2701,15
352,32367,2569,10,29,3367,15
353,32542,2512,13,29,3542,12
354,14761,2445,6,11,3761,1
355,30044,2458,11,27,3044,13
356,15933,2443,6,13,2933,4
357,31263,2379,12,28,3263,13
358,30941,2559,11,28,2941,13
359,17091,2464,8,14,3091,2
360,29761,3967,12,26,3761,8
361,29918,4338,7,27,2918,14
362,30239,3710,10,27,3239,12
363,16148,2600,6,13,3148,2
364,30367,2667,10,27,3367,14
365,29811,2691,12,27,2811,11
366,17524,2705,6,13,4524,4
367,29326,3932,12,27,2326,9
368,17119,2366,8,14,3119,3
369,28670,2418,10,26,2670,12
370,15701,2329,7,13,2701,1
371,30400,2382,12,27,3400,12
372,30530,2633,10,28,2530,13
373,16006,2562,6,13,3006,3
374,31050,2477,12,28,3050,12
375,30853,2563,10,28,2853,14
376,16567,2371,6,14,2567,4
377,15993,2691,6,13,2993,3
378,17925,2546,9,13,4925,1
379,28882,2676,11,26,2882,11
380,29880,5481,6,27,2880,14
381,30946,3919,8,28,2946,15
382,32198,2525,12,29,3198,13
383,16437,2450,6,13,3437,3
384,30197,2726,9,27,3197,15
385,29185,2538,16,19,10185,0
386,33284,3724,13,30,3284,12
387,31399,2478,13,28,3399,11
388,18814,2494,8,15,3814,2
389,27057,3911,12,24,3057,7
390,31135,2325,10,28,3135,14
391,22641,2453,13,18,4641,0
392,25624,3424,11,21,4624,6
393,30543,2279,13,28,2543,11
394,29881,2323,10,27,2881,13
395,17607,2350,8,15,2607,3
396,28773,2769,10,26,2773,12
397,30791,2747,11,28,2791,14
398,16293,2420,6,14,2293,4
399,30130,3019,10,27,3130,12
400,30142,2412,11,27,3142,12
401,14955,2322,6,12,2955,3
402,31170,2595,10,28,3170,15
403,16955,2320,8,14,2955,3
404,29198,2576,13,26,3198,9
405,30692,2372,11,28,2692,14
406,16545,2341,7,14,2545,3
407,29488,2459,11,27,2488,12
408,31047,2268,11,28,3047,14
409,30995,2345,9,28,2995,16
410,15090,2273,6,12,3090,4
411,31354,2349,12,29,2354,14
412,15971,2296,6,13,2971,4
413,30645,2578,10,28,2645,14
414,30886,2378,10,28,2886,15
415,15701,3377,6,13,2701,3
416,30990,2731,10,28,2990,14
417,31887,2547,11,29,2887,14
418,16671,2272,8,14,2671,3
419,27932,2355,11,25,2932,11
420,14991,2407,6,12,2991,3
421,32233,2370,11,29,3233,15
422,30648,2638,13,28,2648,12
423,22378,2227,13,20,2378,3
424,39136,3081,17,36,3136,15
425,30930,2308,14,28,2930,10
426,31143,7011,7,28,3143,13
427,35424,3420,17,27,8424,6
428,25460,2780,12,22,3460,7
429,31580,2509,18,29,2580,7
430,19554,2295,12,17,2554,2
431,31048,2385,14,23,8048,5
432,29248,9751,7,25,4248,7
433,28394,4229,11,26,2394,9
434,31532,2473,12,29,2532,13
435,40581,9882,11,34,6581,11
436,32454,10609,16,29,3454,1
437,43108,3496,17,33,10108,12
438,40145,2727,22,37,3145,11
439,16813,2562,6,13,3813,3
440,32594,5370,6,27,5594,15
441,28775,2342,19,26,2775,4
442,32868,6862,9,30,2868,13
443,47952,2395,20,25,22952,2
444,34004,2318,18,24,10004,3
