elapsed_ms,pid,working_set_bytes,private_bytes,cpu_seconds
392266,20516,15507456,6668288,14.9375
393283,20516,15552512,7122944,14.9375
394300,20516,15466496,6721536,14.96875
395321,20516,15478784,6750208,14.984375
396330,20516,15544320,6750208,15
397350,20516,15495168,6787072,15.015625
398361,20516,15519744,6787072,15.046875
399374,20516,15519744,6787072,15.0625
400397,20516,15417344,6574080,15.109375
401406,20516,15556608,7118848,15.125
402417,20516,15380480,6488064,15.203125
403426,20516,15388672,6512640,15.25
404447,20516,15491072,6914048,15.265625
405456,20516,15466496,6991872,15.296875
406466,20516,15474688,6991872,15.375
407476,20516,15486976,7024640,15.40625
408487,20516,15572992,7024640,15.421875
409498,20516,15572992,7024640,15.453125
410509,20516,15601664,7024640,15.5
411517,20516,15609856,7024640,15.546875
412525,20516,15613952,7024640,15.546875
413547,20516,15396864,6508544,15.59375
414555,20516,15396864,6508544,15.609375
415569,20516,15474688,6623232,15.625
416590,20516,15351808,6524928,15.71875
417612,20516,15421440,6569984,15.75
418626,20516,15454208,6623232,15.796875
419640,20516,15552512,7024640,15.90625
420652,20516,15486976,6979584,15.90625
421660,20516,15486976,7024640,15.90625
422682,20516,15548416,6930432,15.953125
423694,20516,15446016,6930432,15.96875
424702,20516,15446016,6930432,15.984375
425710,20516,15446016,6930432,16.015625
426719,20516,15486976,6930432,16.03125
427739,20516,15486976,6930432,16.09375
428746,20516,15519744,6930432,16.109375
429758,20516,15527936,6930432,16.15625
430771,20516,15470592,6815744,16.171875
431790,20516,15552512,6991872,16.1875
432799,20516,15552512,6991872,16.1875
433818,20516,15331328,6438912,16.234375
434824,20516,15454208,6623232,16.265625
435836,20516,15454208,6623232,16.296875
436845,20516,15454208,6623232,16.375
437866,20516,15462400,6623232,16.421875
438876,20516,15495168,6623232,16.46875
439898,20516,15499264,6623232,16.53125
440906,20516,15499264,6623232,16.5625
441912,20516,15499264,6623232,16.609375
442918,20516,15499264,6623232,16.625
443925,20516,15499264,6623232,16.671875
444937,20516,15499264,6623232,16.765625
445948,20516,15499264,6623232,16.8125
446966,20516,15597568,7024640,16.8125
447974,20516,15466496,6602752,16.859375
448989,20516,15470592,6602752,16.875
450004,20516,15450112,6578176,16.90625
451016,20516,15450112,6623232,16.921875
452038,20516,15454208,6623232,16.921875
453049,20516,15433728,6569984,16.9375
454070,20516,15470592,6955008,16.96875
455079,20516,15384576,6582272,16.984375
456099,20516,15400960,6598656,16.984375
457107,20516,15486976,6635520,17.015625
458114,20516,15486976,6971392,17.03125
459131,20516,15486976,6971392,17.078125
460142,20516,15368192,6541312,17.109375
461151,20516,15376384,6541312,17.109375
462163,20516,15376384,6541312,17.125
463184,20516,15409152,6569984,17.15625
464206,20516,15409152,6569984,17.21875
465227,20516,15409152,6569984,17.21875
466238,20516,15409152,6569984,17.25
467257,20516,15511552,6971392,17.28125
468265,20516,15400960,6508544,17.328125
469276,20516,15400960,6508544,17.34375
470285,20516,15400960,6569984,17.40625
471306,20516,15400960,6569984,17.421875
472318,20516,15405056,6569984,17.515625
473326,20516,15405056,6569984,17.515625
474333,20516,15413248,6569984,17.5625
475341,20516,15429632,6623232,17.609375
476347,20516,15429632,6623232,17.609375
477357,20516,15429632,6623232,17.65625
478377,20516,15429632,6623232,17.71875
479398,20516,15429632,6623232,17.734375
480407,20516,15429632,6623232,17.75
481418,20516,15527936,7024640,17.78125
482425,20516,15466496,6971392,17.828125
483437,20516,15486976,6971392,17.828125
484446,20516,15450112,6635520,17.9375
485456,20516,15462400,6971392,17.96875
486470,20516,15523840,6971392,18
487491,20516,15527936,6971392,18
488499,20516,15536128,7024640,18.046875
489506,20516,15548416,7024640,18.078125
490517,20516,15548416,7024640,18.140625
491524,20516,15310848,6492160,18.1875
492545,20516,15478784,6623232,18.265625
493553,20516,15532032,7024640,18.265625
494568,20516,15450112,6971392,18.3125
495577,20516,15515648,7024640,18.328125
496600,20516,15396864,6541312,18.34375
497608,20516,15429632,6586368,18.34375
498616,20516,15429632,6557696,18.375
499634,20516,15499264,6987776,18.453125
500653,20516,15454208,6606848,18.46875
501661,20516,15544320,7024640,18.515625
502674,20516,15491072,6619136,18.546875
503686,20516,15372288,6463488,18.5625
504696,20516,15425536,6623232,18.5625
505717,20516,15425536,6623232,18.609375
506726,20516,15474688,6623232,18.625
507744,20516,15482880,6623232,18.640625
508758,20516,15482880,6623232,18.6875
509769,20516,15482880,6623232,18.734375
510790,20516,15507456,7020544,18.78125
511811,20516,15409152,6598656,18.796875
512818,20516,15421440,6610944,18.8125
513837,20516,15540224,6995968,18.859375
514844,20516,15425536,6639616,18.921875
515852,20516,15433728,6660096,18.953125
516863,20516,15441920,6660096,18.96875
517884,20516,15474688,6688768,19.0625
518895,20516,15474688,6688768,19.109375
519903,20516,15556608,7024640,19.15625
520925,20516,15556608,7024640,19.1875
521933,20516,15556608,7024640,19.21875
522944,20516,15577088,7024640,19.25
523960,20516,15577088,7024640,19.296875
524974,20516,15327232,6467584,19.3125
525986,20516,15355904,6467584,19.375
526992,20516,15437824,6623232,19.390625
527999,20516,15441920,6623232,19.4375
529008,20516,15441920,6623232,19.46875
530028,20516,15441920,6623232,19.46875
531049,20516,15339520,6451200,19.484375
532059,20516,15343616,6451200,19.5
533072,20516,15347712,6451200,19.578125
534092,20516,15388672,6512640,19.609375
535111,20516,15392768,6512640,19.6875
536119,20516,15392768,6512640,19.703125
537137,20516,15392768,6512640,19.75
538159,20516,15396864,6512640,19.765625
539167,20516,15400960,6512640,19.84375
540187,20516,15405056,6512640,19.859375
541194,20516,15474688,6623232,19.890625
542202,20516,15474688,6623232,19.90625
543210,20516,15474688,6623232,19.90625
544231,20516,15474688,6623232,19.953125
545241,20516,15482880,6623232,20.015625
546259,20516,15491072,6623232,20.03125
547269,20516,15519744,6623232,20.03125
548288,20516,15523840,6623232,20.0625
549309,20516,15523840,6623232,20.0625
550321,20516,15523840,6623232,20.09375
551331,20516,15347712,6443008,20.125
552341,20516,15466496,6623232,20.1875
553354,20516,15585280,7024640,20.28125
554363,20516,15597568,7024640,20.3125
555382,20516,15609856,7024640,20.34375
556389,20516,15499264,6623232,20.390625
557396,20516,15507456,6623232,20.46875
558405,20516,15507456,6623232,20.484375
559412,20516,15392768,6496256,20.515625
560421,20516,15446016,6623232,20.515625
561428,20516,15454208,6623232,20.5625
562436,20516,15454208,6623232,20.578125
563444,20516,15454208,6623232,20.609375
564452,20516,15454208,6623232,20.640625
565461,20516,15454208,6623232,20.671875
566471,20516,15605760,7024640,20.71875
567491,20516,15605760,7024640,20.734375
568499,20516,15609856,7024640,20.734375
569508,20516,15466496,7004160,20.765625
570517,20516,15482880,7024640,20.78125
571536,20516,15482880,7024640,20.8125
572549,20516,15482880,7024640,20.8125
573558,20516,15482880,7024640,20.859375
574566,20516,15482880,7024640,20.875
575576,20516,15540224,7024640,20.90625
576587,20516,15540224,7024640,20.9375
577595,20516,15540224,7024640,20.96875
578614,20516,15540224,7024640,21
579621,20516,15540224,7024640,21.046875
580630,20516,15540224,7024640,21.09375
581643,20516,15540224,7024640,21.15625
582665,20516,15544320,7024640,21.1875
583686,20516,15429632,6586368,21.21875
584707,20516,15441920,6586368,21.234375
585716,20516,15421440,6594560,21.265625
586724,20516,15433728,6602752,21.359375
587732,20516,15433728,6602752,21.375
588741,20516,15429632,6623232,21.46875
589751,20516,15429632,6623232,21.484375
590759,20516,15429632,6623232,21.515625
591768,20516,15437824,6623232,21.546875
592778,20516,15388672,6508544,21.578125
593788,20516,15392768,6512640,21.59375
594795,20516,15409152,6586368,21.640625
595805,20516,15441920,6623232,21.65625
596814,20516,15446016,6623232,21.671875
597832,20516,15450112,6623232,21.6875
598842,20516,15450112,6623232,21.71875
599852,20516,15450112,6623232,21.734375
600860,20516,15482880,6684672,21.734375
601880,20516,15556608,6684672,21.796875
602900,20516,15654912,7086080,21.84375
603908,20516,15540224,7086080,21.921875
604917,20516,15552512,7086080,21.96875
605927,20516,15458304,6684672,22.046875
606935,20516,15478784,6684672,22.078125
607945,20516,15478784,6684672,22.109375
608953,20516,15478784,6684672,22.125
609973,20516,15519744,6684672,22.203125
610981,20516,15519744,6684672,22.21875
611992,20516,15519744,6684672,22.25
613012,20516,15527936,6684672,22.28125
614019,20516,15540224,6684672,22.3125
615034,20516,15540224,6684672,22.328125
616048,20516,15548416,6684672,22.421875
617068,20516,15548416,6684672,22.4375
618089,20516,15548416,6684672,22.5
619104,20516,15548416,6684672,22.546875
620112,20516,15548416,6684672,22.5625
621120,20516,15548416,6684672,22.671875
622142,20516,15548416,6684672,22.6875
623164,20516,15548416,6684672,22.703125
624186,20516,15548416,6684672,22.734375
625205,20516,15548416,6684672,22.734375
626215,20516,15548416,6684672,22.734375
627229,20516,15548416,6684672,22.75
628250,20516,15556608,6684672,22.765625
629259,20516,15556608,6684672,22.890625
630269,20516,15556608,6684672,22.890625
631290,20516,15556608,6684672,22.890625
632298,20516,15556608,6684672,22.90625
633318,20516,15556608,6684672,22.921875
634324,20516,15556608,6684672,22.9375
635336,20516,15556608,6684672,23.03125
636359,20516,15556608,6684672,23.03125
637368,20516,15556608,6684672,23.046875
638375,20516,15556608,6684672,23.078125
639384,20516,15556608,6684672,23.15625
640394,20516,15556608,6684672,23.171875
641404,20516,15556608,6684672,23.171875
642415,20516,15486976,6643712,23.203125
