elapsed_s,rss_bytes,private_bytes,cpu_s
433.363,18268160,6295552,14.015625
434.374,18268160,6295552,14.0625
435.386,18268160,6295552,14.0625
436.399,18268160,6295552,14.109375
437.414,18268160,6295552,14.109375
438.426,18268160,6295552,14.125
439.448,18268160,6295552,14.171875
440.467,18268160,6295552,14.265625
441.486,18268160,6295552,14.34375
442.506,18268160,6295552,14.359375
443.521,18268160,6295552,14.421875
444.537,18268160,6295552,14.4375
445.547,18268160,6295552,14.46875
446.561,18268160,6295552,14.484375
447.576,18268160,6295552,14.515625
448.59,18268160,6295552,14.578125
449.605,18268160,6295552,14.625
450.617,18268160,6295552,14.625
451.634,18268160,6295552,14.65625
452.67,18268160,6295552,14.671875
453.686,18268160,6295552,14.765625
454.7,18268160,6295552,14.78125
455.717,18268160,6295552,14.796875
456.734,18268160,6295552,14.859375
457.751,18268160,6295552,14.90625
458.761,18268160,6295552,14.9375
459.779,18268160,6295552,14.96875
460.794,18268160,6295552,14.984375
461.809,18268160,6295552,15.078125
462.822,18268160,6295552,15.078125
463.838,18268160,6295552,15.078125
464.853,18268160,6295552,15.1875
465.869,18268160,6295552,15.203125
466.882,18268160,6295552,15.234375
467.897,18268160,6295552,15.25
468.908,18268160,6295552,15.296875
469.922,18268160,6295552,15.3125
470.94,18268160,6295552,15.328125
471.956,18268160,6295552,15.390625
472.977,18268160,6295552,15.453125
473.989,18268160,6295552,15.46875
475.004,18268160,6295552,15.5
476.024,18268160,6295552,15.53125
477.039,18268160,6295552,15.5625
478.052,18268160,6295552,15.578125
479.065,18268160,6295552,15.640625
480.083,18268160,6295552,15.734375
481.104,18268160,6295552,15.8125
482.118,18268160,6295552,15.828125
483.133,18268160,6295552,15.921875
484.145,18268160,6295552,15.9375
485.156,18268160,6295552,15.953125
486.169,18268160,6295552,16
487.183,18268160,6295552,16.015625
488.199,18268160,6295552,16.0625
489.217,18268160,6295552,16.125
490.23,18268160,6295552,16.171875
491.24,18268160,6295552,16.203125
492.262,18268160,6295552,16.265625
493.285,18268160,6295552,16.3125
494.301,18268160,6295552,16.328125
495.316,18268160,6295552,16.390625
496.333,18268160,6295552,16.421875
497.349,18268160,6295552,16.484375
498.364,18268160,6295552,16.53125
499.38,18268160,6295552,16.53125
500.397,18268160,6295552,16.578125
501.42,18268160,6295552,16.640625
502.433,18268160,6295552,16.71875
503.45,18268160,6295552,16.765625
504.467,18268160,6295552,16.765625
505.48,18268160,6295552,16.8125
506.49,18268160,6295552,16.84375
507.507,18268160,6295552,16.890625
508.516,18268160,6295552,16.953125
509.532,18268160,6295552,16.96875
510.54,18268160,6295552,17.015625
511.561,18268160,6295552,17.03125
512.581,18268160,6295552,17.0625
513.593,18268160,6295552,17.09375
514.613,18268160,6295552,17.125
515.626,18268160,6295552,17.171875
516.643,18268160,6295552,17.1875
