index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
314,15880,2146,4,13,2880,5
315,16133,2383,5,13,3133,5
316,15588,3423,6,13,2588,3
317,15097,2252,6,12,3097,4
318,15936,2239,5,13,2936,5
319,14851,3859,6,12,2851,2
320,15227,2337,4,12,3227,4
321,15214,2256,6,12,3214,4
322,15483,2143,5,13,2483,5
323,15673,2294,5,13,2673,5
324,15923,2282,5,13,2923,5
325,15031,2257,5,12,3031,4
326,16168,2183,5,13,3168,5
327,15368,2125,6,13,2368,4
328,15778,2227,5,13,2778,5
329,15369,2288,6,13,2369,4
330,15199,2943,5,13,2199,3
331,15441,2307,4,13,2441,4
332,14978,2269,4,12,2978,4
333,15243,2178,3,13,2243,4
334,16082,2298,5,13,3082,5
335,16096,2114,5,13,3096,5
336,15717,2124,3,13,2717,5
337,15405,2125,4,13,2405,5
338,32236,6511,6,29,3236,15
339,15230,2200,4,13,2230,4
340,15083,2178,4,12,3083,4
341,14632,2143,3,12,2632,4
342,15038,2207,4,12,3038,4
343,16031,2165,3,13,3031,5
344,15215,2228,4,13,2215,4
345,15728,2131,4,13,2728,5
346,15553,2233,4,13,2553,5
347,15490,2181,5,13,2490,5
348,15934,2091,4,13,2934,5
349,15252,2207,4,13,2252,4
350,15538,2091,4,13,2538,5
351,14985,2159,4,12,2985,4
352,15218,2172,6,12,3218,4
353,15744,2319,6,13,2744,4
354,15504,2304,6,13,2504,4
355,15038,2307,6,12,3038,4
356,15026,2251,6,12,3026,4
357,15875,2446,5,13,2875,4
358,15432,2331,6,13,2432,4
359,15184,2243,6,12,3184,4
360,14906,2206,5,12,2906,4
361,15315,2200,6,13,2315,4
362,14747,2274,5,12,2747,4
363,15008,2255,6,12,3008,4
364,15367,2281,4,13,2367,4
365,15805,2230,5,13,2805,4
366,14731,2285,6,12,2731,4
367,15538,2267,6,13,2538,4
368,15032,2254,6,12,3032,4
369,15899,2212,6,13,2899,5
370,16145,2273,6,13,3145,5
371,15309,2303,6,13,2309,4
372,15613,2232,6,13,2613,4
373,15015,2304,6,12,3015,3
374,15458,2299,6,13,2458,4
375,16117,2419,6,13,3117,4
376,15284,2413,6,12,3284,4
377,15586,2292,6,13,2586,4
378,15167,2333,6,12,3167,3
379,15255,2442,6,12,3255,3
380,15689,2412,6,13,2689,4
381,14826,2313,6,12,2826,3
382,15212,2325,5,12,3212,4
383,16067,2311,6,13,3067,5
384,14692,2304,6,12,2692,3
385,15371,2272,5,13,2371,4
386,15556,2276,6,13,2556,4
387,21784,2272,9,17,4784,5
388,26179,2369,6,23,3179,15
389,14821,2287,5,12,2821,3
390,15430,2411,6,13,2430,4
391,15114,2176,6,12,3114,4
392,15194,2278,6,13,2194,4
393,15996,2203,6,13,2996,5
394,15881,2363,6,13,2881,5
395,15240,2326,5,13,2240,4
396,15213,2323,6,13,2213,4
397,15224,2313,5,13,2224,4
398,15584,2300,6,13,2584,4
399,14917,2250,5,12,2917,4
400,15203,2348,6,12,3203,4
401,10534,2163,6,8,2534,0
402,20550,2357,6,18,2550,9
403,14953,2227,6,12,2953,4
404,14800,2255,6,12,2800,4
405,15093,2345,6,12,3093,4
406,15959,2310,6,13,2959,4
407,14659,2327,6,12,2659,3
408,15730,2273,6,13,2730,4
409,15683,2349,6,13,2683,4
410,15353,2261,6,13,2353,4
411,16052,2446,6,13,3052,4
412,15966,2344,6,13,2966,4
413,15800,2247,6,13,2800,4
414,16139,2287,6,13,3139,5
415,14580,2441,6,12,2580,3
416,15360,2315,6,13,2360,4
417,15597,2260,6,13,2597,4
418,15456,2390,6,13,2456,4
419,15806,2318,6,13,2806,4
420,16260,2166,6,14,2260,5
421,14882,2252,6,12,2882,4
422,16165,2279,5,13,3165,5
423,15512,2307,5,13,2512,4
424,14914,2212,6,12,2914,4
425,16950,2358,6,14,2950,4
426,13692,2268,6,11,2692,2
427,15689,2285,5,13,2689,4
428,15168,2329,5,12,3168,4
429,15767,2221,6,13,2767,4
430,14695,2280,5,12,2695,3
431,15515,2303,6,13,2515,4
432,15292,2258,5,13,2292,4
433,14727,2246,6,12,2727,3
434,14888,2199,5,12,2888,4
435,15977,2229,6,13,2977,5
436,32237,2247,12,29,3237,14
437,13460,2238,6,11,2460,2
438,15755,2218,5,13,2755,5
439,15225,2181,6,13,2225,4
440,15215,2303,5,12,3215,4
441,10561,2271,5,8,2561,0
442,20569,2292,6,18,2569,9
443,14603,2177,5,12,2603,4
444,15226,2312,5,13,2226,4
445,15596,2143,4,13,2596,5
446,15029,2286,6,12,3029,4
447,15978,2296,6,13,2978,5
448,15458,2315,4,13,2458,4
449,15100,2361,5,12,3100,4
450,15064,2133,5,12,3064,4
451,15187,2161,6,13,2187,4
452,16000,2286,5,13,3000,5
453,15139,2243,5,12,3139,4
454,15148,2505,6,12,3148,4
455,15045,2163,5,12,3045,4
456,15838,2446,5,13,2838,5
457,15450,2268,5,13,2450,4
458,15709,2191,5,13,2709,5
459,10431,2204,4,8,2431,0
460,21446,2316,6,19,2446,10
461,15389,2331,6,13,2389,4
462,15926,2292,6,13,2926,4
463,15508,2226,6,13,2508,4
464,15939,2323,5,13,2939,5
465,15008,2312,6,12,3008,4
466,16099,2397,6,13,3099,4
467,15165,2289,6,12,3165,3
468,15030,2376,6,12,3030,3
469,15262,2325,6,13,2262,4
470,14948,2349,6,12,2948,3
471,15950,2421,6,13,2950,4
472,15335,2329,6,13,2335,4
473,15001,2477,6,12,3001,3
474,15951,2377,6,13,2951,4
475,15839,2419,6,13,2839,4
476,11180,2295,6,8,3180,0
477,19484,2429,6,17,2484,8
478,15332,2410,6,13,2332,4
479,15457,2367,6,13,2457,4
480,16015,2407,6,13,3015,4
481,15282,2297,6,13,2282,4
482,16153,2324,6,13,3153,4
483,15367,2328,6,13,2367,4
484,15081,2451,6,12,3081,3
485,21209,2217,6,13,8209,5
486,26064,4342,6,23,3064,12
487,15622,2423,6,13,2622,4
488,15597,2373,6,13,2597,4
489,19282,2330,6,13,6282,4
490,26685,2438,6,24,2685,15
491,15084,2453,6,12,3084,3
492,14824,2380,6,12,2824,3
493,15495,2678,6,13,2495,4
494,15626,2290,6,13,2626,4
495,16076,2282,6,13,3076,5
496,16025,2323,6,13,3025,4
497,15824,2324,6,13,2824,4
498,14994,2376,6,12,2994,3
499,15197,2359,6,12,3197,3
500,13996,2469,6,11,2996,2
501,14963,2367,6,12,2963,3
502,15473,2304,6,13,2473,4
503,15223,2272,6,12,3223,4
504,15566,2284,6,13,2566,4
505,15511,2330,6,13,2511,4
506,15445,2323,6,13,2445,4
507,15945,2345,6,13,2945,4
508,15294,2345,6,12,3294,4
509,15963,2389,6,13,2963,4
510,16984,2285,7,14,2984,4
511,28386,2370,9,26,2386,13
512,16286,2313,6,14,2286,5
513,15069,2314,6,12,3069,3
514,16099,2309,6,13,3099,4
515,15391,2336,5,13,2391,4
516,15871,2400,6,13,2871,4
517,16318,2223,6,14,2318,5
518,15319,2375,6,13,2319,4
519,15974,2246,6,13,2974,4
520,16132,2352,6,13,3132,4
521,15301,2271,6,13,2301,4
522,15977,2181,6,13,2977,5
523,15101,2376,6,12,3101,4
524,14944,2358,6,12,2944,3
525,15170,2396,5,12,3170,3
526,15341,2452,6,13,2341,4
527,15340,2371,6,13,2340,4
528,15682,2323,6,13,2682,4
529,14898,2404,6,12,2898,3
530,15064,2252,6,12,3064,4
531,14737,2459,6,12,2737,3
532,15075,2312,6,12,3075,4
533,15350,2417,6,13,2350,4
534,17253,2423,6,13,4253,4
535,13876,3441,6,11,2876,1
536,15207,2416,6,12,3207,3
537,30987,7392,8,28,2987,12
538,15037,2328,6,12,3037,3
539,16156,2372,6,13,3156,4
540,15068,2321,6,12,3068,3
541,15654,2365,6,13,2654,4
542,14651,2372,6,12,2651,3
543,15352,2436,6,13,2352,4
544,15274,2315,6,12,3274,4
545,15542,2395,6,13,2542,4
546,15915,2306,6,13,2915,4
547,14888,2321,6,12,2888,3
548,15146,2425,6,12,3146,4
549,15403,2281,6,13,2403,4
550,16061,2327,6,13,3061,4
551,14922,2388,6,12,2922,3
552,15331,2370,6,13,2331,4
553,15570,2296,6,13,2570,4
554,15941,2291,6,13,2941,4
555,15073,2310,7,12,3073,2
556,15614,2533,6,13,2614,4
557,15179,2344,6,12,3179,4
558,14821,2327,6,12,2821,3
559,15785,2236,6,13,2785,4
560,15302,2288,6,12,3302,4
561,15187,2281,6,12,3187,4
562,15229,2333,6,12,3229,4
563,15195,2367,6,12,3195,4
564,15377,2306,6,13,2377,4
565,15887,2355,6,13,2887,4
566,15129,2344,6,12,3129,4
567,14822,2320,6,12,2822,3
568,15140,2293,6,12,3140,4
569,15962,2391,6,13,2962,4
570,15069,2353,6,12,3069,4
571,16020,2464,6,13,3020,4
572,15507,2342,6,13,2507,4
573,15086,2300,6,12,3086,3
574,16496,2394,6,14,2496,5
575,15334,2341,6,12,3334,4
576,15952,2452,6,13,2952,4
577,16111,2335,6,13,3111,4
578,16052,2338,6,13,3052,4
579,15057,2343,6,12,3057,3
580,15821,2323,6,13,2821,4
581,15344,2304,6,13,2344,4
582,15866,2366,6,13,2866,4
583,15923,2363,6,13,2923,4
584,15831,2293,8,13,2831,2
585,15868,2381,6,13,2868,4
586,31942,7388,7,29,2942,13
587,15540,2399,5,13,2540,4
588,15508,2305,6,13,2508,4
589,15668,2278,6,13,2668,4
590,16228,2319,6,13,3228,4
591,14829,2378,4,12,2829,4
592,15747,2267,5,13,2747,4
593,15146,2306,6,12,3146,4
594,15152,2284,6,12,3152,4
595,20078,2292,6,13,7078,4
596,24915,2318,6,22,2915,13
597,30191,2282,10,27,3191,15
598,16026,2280,6,13,3026,5
599,14885,2309,6,12,2885,3
600,15628,2355,6,13,2628,4
601,10928,2331,6,8,2928,0
602,20280,2349,5,17,3280,9
603,14866,2310,5,12,2866,4
604,16197,2337,6,13,3197,5
605,15280,2257,6,13,2280,4
606,15934,2301,6,13,2934,5
607,15445,2259,5,13,2445,4
608,15138,2305,6,12,3138,4
609,15702,2301,5,13,2702,4
610,15511,2424,5,13,2511,4
611,15551,2239,5,13,2551,4
612,15111,2244,5,12,3111,4
613,15673,2381,6,13,2673,4
614,15880,2266,5,13,2880,5
615,16279,2263,6,14,2279,5
616,16173,2274,6,13,3173,5
617,15731,2345,6,13,2731,4
618,15791,2326,6,13,2791,4
619,14868,2319,6,12,2868,4
620,15882,2228,6,13,2882,5
621,15542,2295,5,13,2542,4
622,16162,2292,6,13,3162,5
623,15681,2386,6,13,2681,4
624,15327,2401,6,12,3327,3
625,15845,2362,5,13,2845,4
626,14619,2363,6,12,2619,3
627,15693,2393,6,13,2693,4
628,14966,2379,5,12,2966,3
629,15874,2498,6,13,2874,4
630,16113,2499,6,13,3113,4
631,15827,2381,6,13,2827,4
632,15714,2441,6,13,2714,4
633,16036,2395,6,13,3036,4
634,16208,2329,6,13,3208,4
635,15186,2364,6,12,3186,3
636,15273,2363,6,12,3273,4
637,15978,2380,5,13,2978,4
638,20931,2390,5,13,7931,4
639,25930,4417,6,23,2930,12
640,15408,2400,6,13,2408,4
641,15200,2419,5,12,3200,4
642,15784,2351,6,13,2784,4
643,14924,2373,4,12,2924,4
644,15006,2199,5,12,3006,4
645,15479,2120,4,13,2479,5
646,15238,2182,5,13,2238,4
647,15021,2242,4,12,3021,4
648,16023,2091,4,13,3023,5
649,14579,2154,4,12,2579,4
650,15323,2180,4,13,2323,5
651,15338,2235,3,13,2338,5
652,15984,2044,3,13,2984,5
653,9936,2103,3,7,2936,0
654,21366,2053,4,19,2366,11
655,15037,2147,3,12,3037,4
656,16038,2108,3,13,3038,5
657,16415,2178,4,14,2415,5
658,15677,2204,4,13,2677,5
659,14646,2128,3,12,2646,4
660,15390,2107,3,13,2390,5
661,15624,2133,3,13,2624,5
662,15375,2274,4,13,2375,5
663,15954,2152,3,13,2954,5
664,15920,2117,3,13,2920,5
665,15263,2087,4,13,2263,5
666,16026,2128,4,13,3026,5
667,15350,2044,3,13,2350,5
668,15471,2076,4,13,2471,5
669,15471,2105,3,13,2471,5
670,15323,2188,3,13,2323,5
671,15923,2101,3,13,2923,5
672,15300,2073,4,13,2300,5
673,15319,2148,3,13,2319,5
674,15900,5823,3,13,2900,2
675,15806,2077,4,13,2806,5
676,15336,2024,3,13,2336,5
677,16009,2271,4,13,3009,5
678,15315,2138,4,13,2315,5
679,17817,2085,5,14,3817,4
680,13100,2161,3,10,3100,2
681,15539,2096,3,13,2539,5
682,15639,2140,4,13,2639,5
683,15174,2074,3,13,2174,5
684,15239,2100,4,13,2239,5
685,15420,2643,3,13,2420,4
686,15492,2176,3,13,2492,5
687,22372,2154,9,18,4372,5
688,23801,2053,4,21,2801,13
689,14893,2112,4,12,2893,4
690,15069,2171,3,13,2069,4
691,15229,2070,3,13,2229,5
692,15174,2091,3,13,2174,5
693,15046,2103,4,12,3046,4
694,15064,2117,3,12,3064,5
695,15271,2040,4,13,2271,5
696,15911,2186,3,13,2911,5
697,15414,2179,5,13,2414,4
698,15611,2212,4,13,2611,5
699,15711,2158,3,13,2711,5
700,15481,2248,3,13,2481,5
701,15043,2101,3,13,2043,5
702,15861,2113,6,13,2861,4
703,15503,2154,5,13,2503,5
704,9902,2197,3,7,2902,0
705,21117,2029,4,19,2117,11
706,15059,2038,3,12,3059,5
707,14964,2055,4,12,2964,5
708,15097,2148,3,13,2097,5
709,15404,2146,4,13,2404,5
710,14794,2164,3,12,2794,4
711,15023,2063,3,12,3023,5
712,15388,2094,3,13,2388,5
713,15294,2023,3,13,2294,5
714,15932,2096,3,13,2932,5
715,15689,2079,4,13,2689,5
